,season_year,city,sum,mean,count
89,1972,Boston,2.0969770866009103,0.5242442716502276,4
90,1972,Buffalo,-3.126641783317262,-1.0422139277724207,3
91,1972,Chicago,3.006327743283051,0.6012655486566102,5
92,1972,Cincinnati,0.8734177797476989,0.4367088898738494,2
93,1972,Cleveland,-0.8002275163308711,-0.2667425054436237,3
94,1972,Dallas,-1.1323085592370172,-0.5661542796185086,2
95,1972,Denver,-0.6211864100951542,-0.6211864100951542,1
96,1972,Detroit,0.07999280274550247,0.019998200686375617,4
97,1972,Green Bay,0.900086532227515,0.900086532227515,1
98,1972,Houston,-1.6259934201330788,-0.5419978067110263,3
99,1972,Kansas City,0.2029081149424663,0.10145405747123315,2
100,1972,Los Angeles,0.1616558917680795,0.026942648628013252,6
101,1972,Milwaukee,0.2999563342747005,0.14997816713735024,2
